AÑO,PROVINCIA_DESTINO,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2021,Madrid,3084732,25478448,8.0
2021,Melilla,83480,616281,7.0
2021,Murcia,652475,6350291,10.0
2021,Málaga,2356442,20797371,9.0
2021,Navarra,593370,4274864,7.0
2021,Ourense,293211,2316986,8.0
2021,Palencia,116285,767836,7.0
2021,Pontevedra,628167,5281360,8.0
2021,Salamanca,338116,2596843,8.0
2021,Santa Cruz de Tenerife,1886334,15902293,8.0
2021,Segovia,77316,672531,9.0
2021,Sevilla,578467,4796989,8.0
2021,Soria,88262,617743,7.0
2021,Tarragona,869044,6998546,8.0
2021,Teruel,76212,605025,8.0
2021,Toledo,201853,1823140,9.0
2021,Valencia/València,1277824,11102869,9.0
2021,Valladolid,214026,1705852,8.0
2021,Zamora,199779,1410097,7.0
2021,Zaragoza,420265,3472622,8.0
2021,Álava/Araba,332195,2606791,8.0
2021,Ávila,61299,564005,9.0
2022,A Coruña,578671,5252841,9.0
2022,Albacete,146205,1444306,10.0
2022,Alicante/Alacant,4910270,42709761,9.0
2022,Almería,718490,6901934,10.0
2022,Asturias,415491,3839578,9.0
2022,Badajoz,421327,3856594,9.0
2022,Barcelona,8928856,53043013,6.0
2022,Bizkaia,553651,3814967,7.0
2022,Burgos,470644,2771368,6.0
2022,Cantabria,367750,3036485,8.0
2022,Castellón/Castelló,576083,5085228,9.0
2022,Ceuta,130613,734375,6.0
2022,Ciudad Real,168142,1517796,9.0
2022,Cuenca,117084,1070867,9.0
2022,Cáceres,262259,2023293,8.0
2022,Cádiz,1560516,11972958,8.0
2022,Córdoba,245012,2307050,9.0
2022,Gerona/Girona,3735639,24456186,7.0
2022,Granada,821924,6586601,8.0
2022,Guadalajara,185662,1493348,8.0
2022,Guipúzcoa/Gipuzkoa,1408800,8700944,6.0
2022,Huelva,480275,3897079,8.0
2022,Huesca,348469,2127172,6.0
2022,Islas Baleares/Illes Balears,12952284,85629172,7.0
2022,Jaén,170473,1637355,10.0
2022,La Rioja,137710,1171413,9.0
2022,Las Palmas,7127002,56876678,8.0
2022,León,196098,1832760,9.0
2022,Lleida,522711,3844078,7.0
2022,Lugo,139233,1345052,10.0
2022,Madrid,5779772,39821288,7.0
2022,Melilla,140861,831540,6.0
2022,Murcia,957971,9197528,10.0
2022,Málaga,5087391,40621816,8.0
2022,Navarra,673497,4604942,7.0
2022,Ourense,316801,2576568,8.0
2022,Palencia,136742,866384,6.0
2022,Pontevedra,746466,5891094,8.0
2022,Salamanca,442861,3195731,7.0
2022,Santa Cruz de Tenerife,4960483,40320701,8.0
2022,Segovia,106403,882912,8.0
2022,Sevilla,1213014,8509251,7.0
2022,Soria,94485,701313,7.0
2022,Tarragona,1530988,11659150,8.0
2022,Teruel,92555,752906,8.0
2022,Toledo,276723,2426220,9.0
2022,Valencia/València,2028686,16147833,8.0
2022,Valladolid,252027,2022231,8.0
2022,Zamora,219652,1570585,7.0
2022,Zaragoza,487390,4021575,8.0
2022,Álava/Araba,383101,2671396,7.0
2022,Ávila,78076,710878,9.0
2023,A Coruña,697888,5573592,8.0
2023,Albacete,175627,1466153,8.0
2023,Alicante/Alacant,5851838,48534166,8.0
2023,Almería,847403,7210476,9.0
2023,Asturias,506024,4094472,8.0
2023,Badajoz,655795,4760441,7.0
2023,Barcelona,11253670,61162894,5.0
2023,Bizkaia,720097,4493636,6.0
2023,Burgos,574921,2977334,5.0
2023,Cantabria,453794,3296274,7.0
2023,Castellón/Castelló,654934,5378177,8.0
2023,Ceuta,180459,855004,5.0
2023,Ciudad Real,208808,1621150,8.0
2023,Cuenca,140836,1083650,8.0
2023,Cáceres,337374,2224887,7.0
2023,Cádiz,1868783,12988562,7.0
2023,Córdoba,290415,2370972,8.0
2023,Gerona/Girona,4776947,28283760,6.0
2023,Granada,995536,7374066,7.0
2023,Guadalajara,216770,1555013,7.0
2023,Guipúzcoa/Gipuzkoa,1794314,10368657,6.0
2023,Huelva,632483,4338751,7.0
2023,Huesca,449460,2477625,6.0
2023,Islas Baleares/Illes Balears,13775674,86551128,6.0
2023,Jaén,188655,1546962,8.0
2023,La Rioja,167343,1268933,8.0
2023,Las Palmas,7949148,61991423,8.0
2023,León,239612,2005610,8.0
2023,Lleida,710039,4424714,6.0
2023,Lugo,163378,1390337,9.0
2023,Madrid,7244626,44133482,6.0
2023,Melilla,191955,867745,5.0
2023,Murcia,1082409,9416520,9.0
2023,Málaga,6196698,46851559,8.0
2023,Navarra,977039,5491850,6.0
2023,Ourense,473401,3134643,7.0
2023,Palencia,164074,900387,5.0
2023,Pontevedra,985500,6676393,7.0
2023,Salamanca,599794,3900454,7.0
2023,Santa Cruz de Tenerife,5577478,43995905,8.0
2023,Segovia,142331,1037304,7.0
2023,Sevilla,1531091,9733048,6.0
2023,Soria,114315,767348,7.0
2023,Tarragona,1798992,12951295,7.0
2023,Teruel,111499,841116,8.0
2023,Toledo,369185,2741098,7.0
2023,Valencia/València,2609203,18971792,7.0
2023,Valladolid,317168,2126815,7.0
2023,Zamora,281029,1838662,7.0
2023,Zaragoza,590124,4319562,7.0
2023,Álava/Araba,429701,2567277,6.0
2023,Ávila,103681,794500,8.0
2024,A Coruña,716582,5396549,8.0
2024,Albacete,172256,1291686,7.0
2024,Alicante/Alacant,5917074,47887590,8.0
2024,Almería,828932,6643680,8.0
2024,Asturias,500381,3804537,8.0
2024,Badajoz,650116,4216550,6.0
2024,Barcelona,11122508,59926899,5.0
2024,Bizkaia,723320,4430275,6.0
2024,Burgos,509686,2681374,5.0
2024,Cantabria,452468,3173486,7.0
2024,Castellón/Castelló,643479,5171907,8.0
2024,Ceuta,207748,876198,4.0
2024,Ciudad Real,208701,1524993,7.0
2024,Cuenca,131500,925332,7.0
2024,Cáceres,319214,1966247,6.0
2024,Cádiz,1870207,12249654,7.0
2024,Córdoba,283303,2117806,7.0
2024,Gerona/Girona,5082690,29596921,6.0
2024,Granada,974277,6877836,7.0
2024,Guadalajara,199033,1333135,7.0
2024,Guipúzcoa/Gipuzkoa,1718399,9300428,5.0
2024,Huelva,661908,4291211,6.0
2024,Huesca,415170,2240994,5.0
2024,Islas Baleares/Illes Balears,14143832,87806954,6.0
2024,Jaén,186714,1375344,7.0
2024,La Rioja,160062,1123262,7.0
2024,Las Palmas,7063703,54834259,8.0
2024,León,232162,1835637,8.0
2024,Lleida,748601,4291354,6.0
2024,Lugo,162125,1290475,8.0
2024,Madrid,7198353,42263290,6.0
2024,Melilla,196825,835946,4.0
2024,Murcia,1112477,9430038,8.0
2024,Málaga,6240935,45754651,7.0
2024,Navarra,966851,5083623,5.0
2024,Ourense,402183,2383711,6.0
2024,Palencia,151050,833406,6.0
2024,Pontevedra,920237,6115651,7.0
2024,Salamanca,537620,3273488,6.0
2024,Santa Cruz de Tenerife,5022794,38892318,8.0
2024,Segovia,133201,917061,7.0
2024,Sevilla,1567057,9669068,6.0
2024,Soria,103962,673902,6.0
2024,Tarragona,1940604,13958039,7.0
2024,Teruel,104371,774826,7.0
2024,Toledo,345939,2475726,7.0
2024,Valencia/València,2758600,19498755,7.0
2024,Valladolid,298549,1873856,6.0
2024,Zamora,266419,1586649,6.0
2024,Zaragoza,584664,4196368,7.0
2024,Álava/Araba,410239,2660567,6.0
2024,Ávila,99073,729586,7.0
