FECHA,PROVINCIA_DESTINO,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019/09,Huesca,38241,221240,6.0
2019/09,Islas Baleares/Illes Balears,1772719,11344411,6.0
2019/09,Jaén,14191,120248,8.0
2019/09,La Rioja,16167,120758,7.0
2019/09,Las Palmas,508548,4000656,8.0
2019/09,León,19498,190518,10.0
2019/09,Lleida,52741,351184,7.0
2019/09,Lugo,16499,155272,9.0
2019/09,Madrid,564737,3468609,6.0
2019/09,Melilla,31397,166550,5.0
2019/09,Murcia,112635,992123,9.0
2019/09,Málaga,640949,4656738,7.0
2019/09,Navarra,71712,442837,6.0
2019/09,Ourense,38355,318220,8.0
2019/09,Palencia,13390,85115,6.0
2019/09,Pontevedra,90871,655123,7.0
2019/09,Salamanca,46721,304325,7.0
2019/09,Santa Cruz de Tenerife,353798,2790777,8.0
2019/09,Segovia,13474,89537,7.0
2019/09,Sevilla,123548,783437,6.0
2019/09,Soria,8012,57729,7.0
2019/09,Tarragona,230322,1718250,7.0
2019/09,Teruel,10531,77533,7.0
2019/09,Toledo,28651,205803,7.0
2019/09,Valencia/València,199507,1426403,7.0
2019/09,Valladolid,22344,162612,7.0
2019/09,Zamora,24061,178237,7.0
2019/09,Zaragoza,44523,345621,8.0
2019/09,Álava/Araba,26524,170879,6.0
2019/09,Ávila,8540,71682,8.0
2019/10,A Coruña,58857,531250,9.0
2019/10,Albacete,13139,147393,11.0
2019/10,Alicante/Alacant,570151,4784773,8.0
2019/10,Almería,79681,750430,9.0
2019/10,Asturias,33257,356423,11.0
2019/10,Badajoz,37599,397947,11.0
2019/10,Barcelona,1044190,6068365,6.0
2019/10,Bizkaia,57432,385371,7.0
2019/10,Burgos,32741,253500,8.0
2019/10,Cantabria,31894,292268,9.0
2019/10,Castellón/Castelló,54944,502115,9.0
2019/10,Ceuta,28084,219564,8.0
2019/10,Ciudad Real,12536,132949,11.0
2019/10,Cuenca,9204,89741,10.0
2019/10,Cáceres,20851,185226,9.0
2019/10,Cádiz,186162,1371137,7.0
2019/10,Córdoba,26933,231304,9.0
2019/10,Gerona/Girona,327867,2143701,7.0
2019/10,Granada,97430,747436,8.0
2019/10,Guadalajara,17954,145514,8.0
2019/10,Guipúzcoa/Gipuzkoa,127445,922872,7.0
2019/10,Huelva,48850,391547,8.0
2019/10,Huesca,26705,180941,7.0
2019/10,Islas Baleares/Illes Balears,1247062,8189038,7.0
2019/10,Jaén,13722,143468,10.0
2019/10,La Rioja,14904,141577,9.0
2019/10,Las Palmas,580242,4349278,7.0
2019/10,León,15939,178550,11.0
2019/10,Lleida,40673,375776,9.0
2019/10,Lugo,12865,130232,10.0
2019/10,Madrid,660919,4422659,7.0
2019/10,Melilla,26799,245767,9.0
2019/10,Murcia,107029,1050186,10.0
2019/10,Málaga,578813,4325895,7.0
2019/10,Navarra,63726,523895,8.0
2019/10,Ourense,26780,280726,10.0
2019/10,Palencia,11804,98448,8.0
2019/10,Pontevedra,64310,551027,9.0
2019/10,Salamanca,43700,380924,9.0
2019/10,Santa Cruz de Tenerife,398473,3027535,8.0
2019/10,Segovia,11623,100990,9.0
2019/10,Sevilla,139612,921819,7.0
2019/10,Soria,7918,63778,8.0
2019/10,Tarragona,174204,1243199,7.0
2019/10,Teruel,9192,78080,8.0
2019/10,Toledo,26876,229626,9.0
2019/10,Valencia/València,203283,1524433,7.0
2019/10,Valladolid,22191,205259,9.0
2019/10,Zamora,19120,181399,9.0
2019/10,Zaragoza,49672,442630,9.0
2019/10,Álava/Araba,26702,232418,9.0
2019/10,Ávila,6874,64553,9.0
2019/11,A Coruña,34421,358097,10.0
2019/11,Albacete,12458,155697,12.0
2019/11,Alicante/Alacant,331965,3194151,10.0
2019/11,Almería,52459,572459,11.0
2019/11,Asturias,26083,286094,11.0
2019/11,Badajoz,37512,447241,12.0
2019/11,Barcelona,783808,4813510,6.0
2019/11,Bizkaia,41760,319241,8.0
2019/11,Burgos,27236,217940,8.0
2019/11,Cantabria,20784,218888,11.0
2019/11,Castellón/Castelló,40652,407039,10.0
2019/11,Ceuta,27814,239472,9.0
2019/11,Ciudad Real,11966,135225,11.0
2019/11,Cuenca,8453,90713,11.0
2019/11,Cáceres,19694,192717,10.0
2019/11,Cádiz,133292,1083503,8.0
2019/11,Córdoba,20215,203366,10.0
2019/11,Gerona/Girona,199240,1428124,7.0
2019/11,Granada,69471,581395,8.0
2019/11,Guadalajara,16809,149369,9.0
2019/11,Guipúzcoa/Gipuzkoa,103354,900895,9.0
2019/11,Huelva,34599,341895,10.0
2019/11,Huesca,16899,142187,8.0
